state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,Predicted total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn
KS,128,415,382-4657,no,yes,25,,,,,,,,,,,,,,,
OH,107,415,371-7191,no,yes,26,,,,,,,,,,,,,,,
NJ,137,415,358-1921,no,no,0,,,,,,,,,,,,,,,
OH,84,408,375-9999,yes,no,0,,,,,,,,,,,,,,,
OK,75,415,330-6626,yes,no,0,,,,,,,,,,,,,,,
AL,118,510,391-8027,yes,no,0,,,,,,,,,,,,,,,
MA,121,510,355-9993,no,yes,24,,,,,,,,,,,,,,,
MO,147,415,329-9001,yes,no,0,,,,,,,,,,,,,,,
LA,117,408,335-4719,no,no,0,,,,,,,,,,,,,,,
WV,141,415,330-8173,yes,yes,37,,,,,,,,,,,,,,,
IN,65,415,329-6603,no,no,0,,,,,,,,,,,,,,,
RI,74,415,344-9403,no,no,0,,,,,,,,,,,,,,,
IA,168,408,363-1107,no,no,0,,,,,,,,,,,,,,,
MT,95,510,394-8006,no,no,0,,,,,,,,,,,,,,,
IA,62,415,366-9238,no,no,0,,,,,,,,,,,,,,,
NY,161,415,351-7269,no,no,0,,,,,,,,,,,,,,,
ID,85,408,350-8884,no,yes,27,,,,,,,,,,,,,,,
VT,93,510,386-2923,no,no,0,,,,,,,,,,,,,,,
VA,76,510,356-2992,no,yes,33,,,,,,,,,,,,,,,
TX,73,415,373-2782,no,no,0,,,,,,,,,,,,,,,
FL,147,415,396-5800,no,no,0,,,,,,,,,,,,,,,
CO,77,408,393-7984,no,no,0,,,,,,,,,,,,,,,
AZ,130,415,358-1958,no,no,0,,,,,,,,,,,,,,,
SC,111,415,350-2565,no,no,0,,,,,,,,,,,,,,,
VA,132,510,343-4696,no,no,0,,,,,,,,,,,,,,,
NE,174,415,331-3698,no,no,0,,,,,,,,,,,,,,,
WY,57,408,357-3817,no,yes,39,,,,,,,,,,,,,,,
MT,54,408,418-6412,no,no,0,,,,,,,,,,,,,,,
MO,20,415,353-2630,no,no,0,,,,,,,,,,,,,,,
HI,49,510,410-7789,no,no,0,,,,,,,,,,,,,,,
IL,142,415,416-8428,no,no,0,,,,,,,,,,,,,,,
NH,75,510,370-3359,no,no,0,,,,,,,,,,,,,,,
LA,172,408,383-1121,no,no,0,,,,,,,,,,,,,,,
AZ,12,408,360-1596,no,no,0,,,,,,,,,,,,,,,
OK,57,408,395-2854,no,yes,25,,,,,,,,,,,,,,,
GA,72,415,362-1407,no,yes,37,,,,,,,,,,,,,,,
AK,36,408,341-9764,no,yes,30,,,,,,,,,,,,,,,
MA,78,415,353-3305,no,no,0,,,,,,,,,,,,,,,
AK,136,415,402-1381,yes,yes,33,,,,,,,,,,,,,,,
NJ,149,408,332-9891,no,no,0,,,,,,,,,,,,,,,
GA,98,408,372-9976,no,no,0,,,,,,,,,,,,,,,
MD,135,408,383-6029,yes,yes,41,,,,,,,,,,,,,,,
AR,34,510,353-7289,no,no,0,,,,,,,,,,,,,,,
ID,160,415,390-7274,no,no,0,,,,,,,,,,,,,,,
WI,64,510,352-1237,no,no,0,,,,,,,,,,,,,,,
OR,59,408,353-3061,no,yes,28,,,,,,,,,,,,,,,
MI,65,415,363-5450,no,no,0,,,,,,,,,,,,,,,
DE,142,408,364-1995,no,no,0,,,,,,,,,,,,,,,
ID,119,415,398-1294,no,no,0,,,,,,,,,,,,,,,
WY,97,415,405-7146,no,yes,24,,,,,,,,,,,,,,,
IA,52,408,413-4957,no,no,0,,,,,,,,,,,,,,,
IN,60,408,420-5645,no,no,0,,,,,,,,,,,,,,,
VA,10,408,349-4396,no,no,0,,,,,,,,,,,,,,,
UT,96,415,404-3211,no,no,0,,,,,,,,,,,,,,,
WY,87,415,353-3759,no,no,0,,,,,,,,,,,,,,,
IN,81,408,363-5947,no,no,0,,,,,,,,,,,,,,,
CO,141,415,340-5121,no,no,0,,,,,,,,,,,,,,,
CO,121,408,370-7574,no,yes,30,,,,,,,,,,,,,,,
WI,68,415,403-9733,no,no,0,,,,,,,,,,,,,,,
OK,125,408,355-7251,no,no,0,,,,,,,,,,,,,,,
ID,174,408,359-5893,no,no,0,,,,,,,,,,,,,,,
CA,116,415,405-3371,no,yes,34,,,,,,,,,,,,,,,
MN,74,510,344-5117,no,yes,33,,,,,,,,,,,,,,,
SD,149,408,332-8160,no,yes,28,,,,,,,,,,,,,,,
NC,38,408,359-4081,no,no,0,,,,,,,,,,,,,,,
WA,40,415,352-8305,no,yes,41,,,,,,,,,,,,,,,
WY,43,415,329-9847,yes,no,0,,,,,,,,,,,,,,,
MN,113,408,365-9011,yes,no,0,,,,,,,,,,,,,,,
UT,126,408,338-9472,no,no,0,,,,,,,,,,,,,,,
TX,150,510,374-8042,no,no,0,,,,,,,,,,,,,,,
NJ,138,408,359-1231,no,no,0,,,,,,,,,,,,,,,
MN,162,510,413-7170,no,yes,46,,,,,,,,,,,,,,,
NM,147,510,415-2935,no,no,0,,,,,,,,,,,,,,,
NV,90,415,399-4246,no,no,0,,,,,,,,,,,,,,,
HI,85,415,362-5889,no,no,0,,,,,,,,,,,,,,,
MN,50,415,350-8921,no,no,0,,,,,,,,,,,,,,,
DC,82,415,374-5353,no,no,0,,,,,,,,,,,,,,,
NY,144,408,360-1171,no,no,0,,,,,,,,,,,,,,,
MN,46,415,355-8887,no,no,0,,,,,,,,,,,,,,,
MD,70,408,333-1967,no,no,0,,,,,,,,,,,,,,,
WV,144,415,354-4577,no,no,0,,,,,,,,,,,,,,,
OR,116,415,331-7425,yes,no,0,,,,,,,,,,,,,,,
CO,55,408,419-2637,no,yes,25,,,,,,,,,,,,,,,
GA,70,415,411-1530,no,yes,24,,,,,,,,,,,,,,,
TX,106,510,395-3026,no,no,0,,,,,,,,,,,,,,,
VT,128,510,388-6441,no,yes,29,,,,,,,,,,,,,,,
IN,94,408,402-1251,no,no,0,,,,,,,,,,,,,,,
WV,111,510,412-9997,no,no,0,,,,,,,,,,,,,,,
KY,74,415,346-7302,no,yes,35,,,,,,,,,,,,,,,
NJ,128,415,358-9095,no,no,0,,,,,,,,,,,,,,,
DC,82,510,400-9770,no,no,0,,,,,,,,,,,,,,,
LA,155,415,334-1275,no,no,0,,,,,,,,,,,,,,,
AR,80,415,340-4953,no,no,0,,,,,,,,,,,,,,,
ME,78,415,400-9510,no,no,0,,,,,,,,,,,,,,,
AZ,90,415,387-6103,no,no,0,,,,,,,,,,,,,,,
AK,104,408,366-4467,no,no,0,,,,,,,,,,,,,,,
MT,73,415,370-3450,no,no,0,,,,,,,,,,,,,,,
AZ,99,415,327-3954,no,no,0,,,,,,,,,,,,,,,
MS,120,408,355-6291,no,no,0,,,,,,,,,,,,,,,
ID,77,415,362-9748,no,no,0,,,,,,,,,,,,,,,
IA,98,510,379-6506,no,yes,21,,,,,,,,,,,,,,,
MA,108,415,347-7741,no,no,0,,,,,,,,,,,,,,,
VT,135,415,354-3783,no,no,0,,,,,,,,,,,,,,,
KY,95,408,401-7594,no,no,0,,,,,,,,,,,,,,,
IN,122,408,397-4976,no,no,0,,,,,,,,,,,,,,,
AZ,95,408,334-2577,no,no,0,,,,,,,,,,,,,,,
MI,36,510,400-3637,no,yes,29,,,,,,,,,,,,,,,
NM,93,510,383-4361,no,yes,21,,,,,,,,,,,,,,,
CO,141,415,371-4306,no,yes,32,,,,,,,,,,,,,,,
UT,157,408,403-4298,no,no,0,,,,,,,,,,,,,,,
MI,120,408,409-3786,no,no,0,,,,,,,,,,,,,,,
MA,103,415,337-4697,no,no,0,,,,,,,,,,,,,,,
AL,98,408,383-1509,no,no,0,,,,,,,,,,,,,,,
DE,125,408,359-9794,no,no,0,,,,,,,,,,,,,,,
AZ,63,415,407-7035,no,no,0,,,,,,,,,,,,,,,
ME,36,510,363-1069,yes,yes,42,,,,,,,,,,,,,,,
NJ,64,510,391-4652,no,no,0,,,,,,,,,,,,,,,
NV,74,415,355-6837,no,no,0,,,,,,,,,,,,,,,
MO,112,510,409-1244,no,yes,36,,,,,,,,,,,,,,,
ID,97,408,328-3266,no,no,0,,,,,,,,,,,,,,,
NE,46,408,352-7072,no,no,0,,,,,,,,,,,,,,,
TX,41,408,370-7550,no,yes,22,,,,,,,,,,,,,,,
MD,121,510,369-5526,no,no,0,,,,,,,,,,,,,,,
MS,193,415,329-4391,no,no,0,,,,,,,,,,,,,,,
NV,130,510,408-4195,no,no,0,,,,,,,,,,,,,,,
AZ,85,408,354-4445,no,no,0,,,,,,,,,,,,,,,
MS,162,415,335-4858,no,no,0,,,,,,,,,,,,,,,
MS,61,510,414-8718,no,yes,27,,,,,,,,,,,,,,,
TX,92,408,409-5939,no,no,0,,,,,,,,,,,,,,,
NE,131,408,331-4902,no,yes,36,,,,,,,,,,,,,,,
NE,90,415,353-6870,no,no,0,,,,,,,,,,,,,,,
CA,75,408,355-2909,no,no,0,,,,,,,,,,,,,,,
NJ,78,415,390-6101,no,no,0,,,,,,,,,,,,,,,
TX,82,408,400-3446,no,no,0,,,,,,,,,,,,,,,
AR,163,408,411-5859,no,no,0,,,,,,,,,,,,,,,
AL,91,510,387-2919,yes,no,0,,,,,,,,,,,,,,,
NY,75,415,374-8525,no,yes,21,,,,,,,,,,,,,,,
FL,91,510,379-5592,no,no,0,,,,,,,,,,,,,,,
AK,127,510,345-8237,no,yes,36,,,,,,,,,,,,,,,
NV,113,415,422-6690,no,yes,23,,,,,,,,,,,,,,,
DE,110,510,346-2359,no,no,0,,,,,,,,,,,,,,,
MD,120,415,374-3534,no,yes,39,,,,,,,,,,,,,,,
MI,157,415,381-4756,no,yes,28,,,,,,,,,,,,,,,
VT,103,510,390-2805,no,no,0,,,,,,,,,,,,,,,
VT,117,408,390-2390,yes,no,0,,,,,,,,,,,,,,,
MI,140,415,419-9097,no,no,0,,,,,,,,,,,,,,,
WA,127,408,386-7281,no,no,0,,,,,,,,,,,,,,,
UT,83,408,380-3561,yes,no,0,,,,,,,,,,,,,,,
LA,121,408,390-8760,no,no,0,,,,,,,,,,,,,,,
